term,campus,subject,catalog_number,section,class_number,course_title,topic,component,career,meeting_days,meeting_times,meeting_location,instructor,seats_available,seats_total,waitlist_available,status,academic_session,meeting_dates,notes,detail_url,retrieved_at,related_to
Fall 2026,University Park,MATH,501,001,21247,Real Analysis,,LEC,GRAD,T Th,1:35 PM-2:50 PM,Boucke Bldg 307,Peter Hintz,6,39,Y,Open,Regular Academic Session,08/24/2026 - 12/11/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029627&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2268&CLASS_NBR=21247&SSR_COMPONENT=LEC,2026-08-20T09:57:42-04:00,
Fall 2026,University Park,MATH,505,001,28973,Mathematical Fluid Mechanics,,LEC,GRAD,T Th,10:35 AM-11:50 AM,McAllister Bldg 113,Helge Jenssen,18,22,Y,Open,Regular Academic Session,08/24/2026 - 12/11/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029633&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2268&CLASS_NBR=28973&SSR_COMPONENT=LEC,2026-08-20T09:57:42-04:00,
Fall 2026,University Park,MATH,507,001,23961,Dynamical Systems I,,LEC,GRAD,T Th,12:05 PM-1:20 PM,McAllister Bldg 106,Boris Kalinin,20,22,Y,Open,Regular Academic Session,08/24/2026 - 12/11/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029635&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2268&CLASS_NBR=23961&SSR_COMPONENT=LEC,2026-08-20T09:57:42-04:00,
Fall 2026,University Park,MATH,513,001,21248,Partial Differential Equations I,,LEC,GRAD,T Th,9:05 AM-10:20 AM,McAllister Bldg 106,Anna Mazzucato,11,22,Y,Open,Regular Academic Session,08/24/2026 - 12/11/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029641&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2268&CLASS_NBR=21248&SSR_COMPONENT=LEC,2026-08-20T09:57:42-04:00,
Fall 2026,University Park,MATH,518,001,21249,Probability Theory,,LEC,GRAD,T Th,4:35 PM-5:50 PM,McAllister Bldg 113,Alexei Novikov,3,3,Y,Wait List,Regular Academic Session,08/24/2026 - 12/11/2026,This is a combined section class: UP MATH/STAT 518,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029648&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2268&CLASS_NBR=21249&SSR_COMPONENT=LEC,2026-08-20T09:57:42-04:00,
Fall 2026,University Park,MATH,523,001,21250,Numerical Analysis I,,LEC,GRAD,T Th,12:05 PM-1:20 PM,McAllister Bldg 113,John Harlim,14,22,Y,Open,Regular Academic Session,08/24/2026 - 12/11/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029654&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2268&CLASS_NBR=21250&SSR_COMPONENT=LEC,2026-08-20T09:57:42-04:00,
Fall 2026,University Park,MATH,528,001,27286,Differentiable Manifolds,,LEC,GRAD,M W F,10:10 AM-11:00 AM,McAllister Bldg 113,Jairo Bochi,17,22,Y,Open,Regular Academic Session,08/24/2026 - 12/11/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029660&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2268&CLASS_NBR=27286&SSR_COMPONENT=LEC,2026-08-20T09:57:42-04:00,
Fall 2026,University Park,MATH,535,001,21276,Linear Algebra and Its Applications,,LEC,GRAD,M W F,9:05 AM-9:55 AM,McAllister Bldg 106,Sara Kalisnik Hintz,10,22,Y,Open,Regular Academic Session,08/24/2026 - 12/11/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029667&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2268&CLASS_NBR=21276&SSR_COMPONENT=LEC,2026-08-20T09:57:42-04:00,
Fall 2026,University Park,MATH,536,001,22594,Abstract Algebra,,LEC,GRAD,M W F,11:15 AM-12:05 PM,McAllister Bldg 113,Ae Ja Yee,16,22,Y,Open,Regular Academic Session,08/24/2026 - 12/11/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029668&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2268&CLASS_NBR=22594&SSR_COMPONENT=LEC,2026-08-20T09:57:42-04:00,
Fall 2026,University Park,MATH,538,001,27289,Commutative Algebra,,LEC,GRAD,M W F,1:25 PM-2:15 PM,McAllister Bldg 106,Jack Huizenga,16,22,Y,Open,Regular Academic Session,08/24/2026 - 12/11/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029670&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2268&CLASS_NBR=27289&SSR_COMPONENT=LEC,2026-08-20T09:57:42-04:00,
