term,campus,subject,catalog_number,section,class_number,course_title,topic,component,career,meeting_days,meeting_times,meeting_location,instructor,seats_available,seats_total,waitlist_available,status,academic_session,meeting_dates,notes,detail_url,retrieved_at,related_to
Summer 2026,University Park,MATH,21,201,6790,College Algebra with Analytic Geometry with Applications I,,LEC,UGRD,M T W Th F,11:10 AM-12:25 PM,Willard Bldg 373,Md Kashif Jamal,1,45,Y,Open,Six Week - Second,07/01/2026 - 08/12/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029239&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2265&CLASS_NBR=6790&SSR_COMPONENT=LEC,2026-08-20T09:58:29-04:00,
Summer 2026,University Park,MATH,21,202,7140,College Algebra with Analytic Geometry with Applications I,,LEC,UGRD,M T W Th F,12:45 PM-2:00 PM,Willard Bldg 373,QUINN MINNICH,1,45,Y,Open,Six Week - Second,07/01/2026 - 08/12/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029239&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2265&CLASS_NBR=7140&SSR_COMPONENT=LEC,2026-08-20T09:58:29-04:00,
Summer 2026,University Park,MATH,22,201,6795,College Algebra With Analytic Geometry and Applications II,,LEC,UGRD,M T W Th F,12:45 PM-2:00 PM,Nursing Sciences Bldg 323,Daphne Amir,20,20,Y,Wait List,Six Week - Second,07/01/2026 - 08/12/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029241&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2265&CLASS_NBR=6795&SSR_COMPONENT=LEC,2026-08-20T09:58:29-04:00,
Summer 2026,University Park,MATH,22,202,6796,College Algebra With Analytic Geometry and Applications II,,LEC,UGRD,M T W Th F,11:10 AM-12:25 PM,Huck Life Sciences Bldg 013,Bharath Narayanan,20,20,Y,Wait List,Six Week - Second,07/01/2026 - 08/12/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029241&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2265&CLASS_NBR=6796&SSR_COMPONENT=LEC,2026-08-20T09:58:29-04:00,
Summer 2026,University Park,MATH,26,201,6800,Plane Trigonometry and Applications of Trigonometry,,LEC,UGRD,M T W Th F,11:10 AM-12:25 PM,Nursing Sciences Bldg 323,Andrew Kulumbetov,20,20,Y,Wait List,Six Week - Second,07/01/2026 - 08/12/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029243&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2265&CLASS_NBR=6800&SSR_COMPONENT=LEC,2026-08-20T09:58:29-04:00,
Summer 2026,University Park,MATH,26,202,6801,Plane Trigonometry and Applications of Trigonometry,,LEC,UGRD,M T W Th F,12:45 PM-2:00 PM,Huck Life Sciences Bldg 013,Patrick Donaghue,21,45,Y,Open,Six Week - Second,07/01/2026 - 08/12/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029243&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2265&CLASS_NBR=6801&SSR_COMPONENT=LEC,2026-08-20T09:58:29-04:00,
Summer 2026,University Park,MATH,34,001V,6876,The Mathematics of Money,,LEC,UGRD,WEB,,,Fernanda Bonafini,4,45,Y,Open,Dynamic Dated Classes,06/15/2026 - 08/12/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029247&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2265&CLASS_NBR=6876&SSR_COMPONENT=LEC,2026-08-20T09:58:29-04:00,
Summer 2026,University Park,MATH,102,001,7243,Bridge to Calculus,,LEC,UGRD,M T W Th,1:15 PM-3:15 PM,Elec Eng West 105,Nate Brown,,,,Closed,Dynamic Dated Classes,06/15/2026 - 07/29/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=305180&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2265&CLASS_NBR=7243&SSR_COMPONENT=LEC,2026-08-20T09:58:29-04:00,
Summer 2026,University Park,MATH,102,002,7244,Bridge to Calculus,,LEC,UGRD,M T W Th,1:15 PM-3:15 PM,Elec Eng West 103,NATHAN FONTES,,,,Closed,Dynamic Dated Classes,06/15/2026 - 07/29/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=305180&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2265&CLASS_NBR=7244&SSR_COMPONENT=LEC,2026-08-20T09:58:29-04:00,
Summer 2026,University Park,MATH,102,003,7245,Bridge to Calculus,,LEC,UGRD,M T W Th,1:15 PM-3:15 PM,Elec Eng West 107,Samantha Fuller,,,,Closed,Dynamic Dated Classes,06/15/2026 - 07/29/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=305180&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2265&CLASS_NBR=7245&SSR_COMPONENT=LEC,2026-08-20T09:58:29-04:00,
