term,campus,subject,catalog_number,section,class_number,course_title,topic,component,career,meeting_days,meeting_times,meeting_location,instructor,seats_available,seats_total,waitlist_available,status,academic_session,meeting_dates,notes,detail_url,retrieved_at,related_to
Fall 2026,University Park,MATH,4,001,22843,Intermediate Algebra,,LEC,UGRD,T Th,4:35 PM-5:50 PM,Chambers Bldg 111,John Correll,9,65,Y,Open,Regular Academic Session,08/24/2026 - 12/11/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029223&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2268&CLASS_NBR=22843&SSR_COMPONENT=LEC,2026-08-20T09:53:03-04:00,
Fall 2026,University Park,MATH,4,002,23478,Intermediate Algebra,,LEC,UGRD,M W F,4:40 PM-5:30 PM,Chambers Bldg 111,Brandon Schadle,27,65,Y,Open,Regular Academic Session,08/24/2026 - 12/11/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029223&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2268&CLASS_NBR=23478&SSR_COMPONENT=LEC,2026-08-20T09:53:03-04:00,
Fall 2026,World Campus,MATH,4,001,21425,Intermediate Algebra,,LEC,UGRD,WEB,,,"Joan Smeltzer, Steven Hair",4,5,Y,Wait List,Regular Academic Session,08/24/2026 - 12/11/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029223&CRSE_OFFER_NBR=19&INSTITUTION=PSU55&STRM=2268&CLASS_NBR=21425&SSR_COMPONENT=LEC,2026-08-20T09:53:03-04:00,
Fall 2026,University Park,MATH,21,001,21097,College Algebra with Analytic Geometry with Applications I,,LEC,UGRD,M W F,8:00 AM-8:50 AM,Boucke Bldg 106,Russell Lee,12,40,Y,Open,Regular Academic Session,08/24/2026 - 12/11/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029239&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2268&CLASS_NBR=21097&SSR_COMPONENT=LEC,2026-08-20T09:53:03-04:00,
Fall 2026,University Park,MATH,21,002,21151,College Algebra with Analytic Geometry with Applications I,,LEC,UGRD,M W F,8:00 AM-8:50 AM,Nursing Sciences Bldg 322,Yukun Cai,19,40,Y,Open,Regular Academic Session,08/24/2026 - 12/11/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029239&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2268&CLASS_NBR=21151&SSR_COMPONENT=LEC,2026-08-20T09:53:03-04:00,
Fall 2026,University Park,MATH,21,003,21194,College Algebra with Analytic Geometry with Applications I,,LEC,UGRD,M W F,9:05 AM-9:55 AM,Osmond Lab 105,Wei-Chun Wang,6,40,Y,Open,Regular Academic Session,08/24/2026 - 12/11/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029239&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2268&CLASS_NBR=21194&SSR_COMPONENT=LEC,2026-08-20T09:53:03-04:00,
Fall 2026,University Park,MATH,21,005,21222,College Algebra with Analytic Geometry with Applications I,,LEC,UGRD,M W F,10:10 AM-11:00 AM,Osmond Lab 110,,,,Y,,,,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029239&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2268&CLASS_NBR=21222&SSR_COMPONENT=LEC,2026-08-20T09:53:03-04:00,
Fall 2026,University Park,MATH,21,006,21224,College Algebra with Analytic Geometry with Applications I,,LEC,UGRD,M W F,10:10 AM-11:00 AM,Elec Eng West 225,Russell Lee,11,40,Y,Open,Regular Academic Session,08/24/2026 - 12/11/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029239&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2268&CLASS_NBR=21224&SSR_COMPONENT=LEC,2026-08-20T09:53:03-04:00,
Fall 2026,University Park,MATH,21,007,21227,College Algebra with Analytic Geometry with Applications I,,LEC,UGRD,M W F,11:15 AM-12:05 PM,Huck Life Sciences Bldg 011,Feiyang Lu,7,40,Y,Open,Regular Academic Session,08/24/2026 - 12/11/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029239&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2268&CLASS_NBR=21227&SSR_COMPONENT=LEC,2026-08-20T09:53:03-04:00,
Fall 2026,University Park,MATH,21,008,21251,College Algebra with Analytic Geometry with Applications I,,LEC,UGRD,M W F,11:15 AM-12:05 PM,Thomas Bldg 215,Flora Benedek,4,40,Y,Open,Regular Academic Session,08/24/2026 - 12/11/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029239&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2268&CLASS_NBR=21251&SSR_COMPONENT=LEC,2026-08-20T09:53:03-04:00,
