term,campus,subject,catalog_number,section,class_number,course_title,topic,component,career,meeting_days,meeting_times,meeting_location,instructor,seats_available,seats_total,waitlist_available,status,academic_session,meeting_dates,notes,detail_url,retrieved_at,related_to
Fall 2026,University Park,MATH,311M,001,22435,Honors Concepts of Discrete Mathematics,,LEC,UGRD,T Th,10:35 AM-11:50 AM,Elec Eng East 101,Svetlana Katok,27,30,Y,Open,Regular Academic Session,08/24/2026 - 12/11/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029413&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2268&CLASS_NBR=22435&SSR_COMPONENT=LEC,2026-08-20T09:56:31-04:00,
Fall 2026,University Park,MATH,311W,001,22444,Concepts of Discrete Mathematics,,LEC,UGRD,M W F,10:10 AM-11:00 AM,Willard Bldg 268,Nestor Handzy,4,35,Y,Open,Regular Academic Session,08/24/2026 - 12/11/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029415&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2268&CLASS_NBR=22444&SSR_COMPONENT=LEC,2026-08-20T09:56:31-04:00,
Fall 2026,University Park,MATH,311W,002,22441,Concepts of Discrete Mathematics,,LEC,UGRD,M W F,11:15 AM-12:05 PM,Willard Bldg 370,Jeffrey Case,6,35,Y,Open,Regular Academic Session,08/24/2026 - 12/11/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029415&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2268&CLASS_NBR=22441&SSR_COMPONENT=LEC,2026-08-20T09:56:31-04:00,
Fall 2026,University Park,MATH,311W,003,22442,Concepts of Discrete Mathematics,,LEC,UGRD,M W F,1:25 PM-2:15 PM,Willard Bldg 268,Jeffrey Case,20,20,Y,Wait List,Regular Academic Session,08/24/2026 - 12/11/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029415&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2268&CLASS_NBR=22442&SSR_COMPONENT=LEC,2026-08-20T09:56:31-04:00,
Fall 2026,University Park,MATH,311W,004,23552,Concepts of Discrete Mathematics,,LEC,UGRD,M W F,2:30 PM-3:20 PM,Willard Bldg 268,Misha Guysinsky,18,32,Y,Open,Regular Academic Session,08/24/2026 - 12/11/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029415&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2268&CLASS_NBR=23552&SSR_COMPONENT=LEC,2026-08-20T09:56:31-04:00,
Fall 2026,University Park,MATH,312,001,21117,Concepts of Real Analysis,,LEC,UGRD,M W F,10:10 AM-11:00 AM,Willard Bldg 370,Aissa Wade,7,35,Y,Open,Regular Academic Session,08/24/2026 - 12/11/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029417&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2268&CLASS_NBR=21117&SSR_COMPONENT=LEC,2026-08-20T09:56:31-04:00,
Fall 2026,University Park,MATH,312,002,21118,Concepts of Real Analysis,,LEC,UGRD,M W F,11:15 AM-12:05 PM,Willard Bldg 268,Aissa Wade,5,35,Y,Open,Regular Academic Session,08/24/2026 - 12/11/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029417&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2268&CLASS_NBR=21118&SSR_COMPONENT=LEC,2026-08-20T09:56:31-04:00,
Fall 2026,University Park,MATH,312,003,23553,Concepts of Real Analysis,,LEC,UGRD,M W F,2:30 PM-3:20 PM,Thomas Bldg 122,Aissa Wade,14,35,Y,Open,Regular Academic Session,08/24/2026 - 12/11/2026,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029417&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2268&CLASS_NBR=23553&SSR_COMPONENT=LEC,2026-08-20T09:56:31-04:00,
Fall 2026,University Park,MATH,318,001,21141,Elementary Probability,,LEC,UGRD,M W F,9:05 AM-9:55 AM,Steidle Building 114,Kimberly Roth,18,20,Y,Open,Regular Academic Session,08/24/2026 - 12/11/2026,This is a combined section class: STAT/MATH 318.001,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029430&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2268&CLASS_NBR=21141&SSR_COMPONENT=LEC,2026-08-20T09:56:31-04:00,
Fall 2026,University Park,MATH,318,002,21142,Elementary Probability,,LEC,UGRD,M W F,1:25 PM-2:15 PM,Willard Bldg 073,Marjorie Bond,13,20,Y,Open,Regular Academic Session,08/24/2026 - 12/11/2026,This is a combined section class: STAT/MATH 318.002,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029430&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2268&CLASS_NBR=21142&SSR_COMPONENT=LEC,2026-08-20T09:56:31-04:00,
