term,campus,subject,catalog_number,section,class_number,course_title,topic,component,career,meeting_days,meeting_times,meeting_location,instructor,seats_available,seats_total,waitlist_available,status,academic_session,meeting_dates,notes,detail_url,retrieved_at,related_to
Spring 2027,University Park,MATH,502,001,21169,Complex Analysis,,LEC,GRAD,M W F,10:10 AM-11:00 AM,McAllister Bldg 106,Victoria Sadovskaya,22,22,Y,Open,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029628&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21169&SSR_COMPONENT=LEC,2026-09-18T13:37:47-04:00,
Spring 2027,University Park,MATH,503,001,21170,Functional Analysis,,LEC,GRAD,M W F,3:35 PM-4:25 PM,McAllister Bldg 106,Alberto Bressan,22,22,Y,Open,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029630&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21170&SSR_COMPONENT=LEC,2026-09-18T13:37:47-04:00,
Spring 2027,University Park,MATH,506,001,27255,Ergodic Theory,,LEC,GRAD,M W F,9:05 AM-9:55 AM,McAllister Bldg 106,scott schmieding,22,22,Y,Open,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029634&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=27255&SSR_COMPONENT=LEC,2026-09-18T13:37:47-04:00,
Spring 2027,University Park,MATH,514,001,22863,Partial Differential Equations II,,LEC,GRAD,T Th,9:05 AM-10:20 AM,McAllister Bldg 106,Alexei Novikov,22,22,Y,Open,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029642&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=22863&SSR_COMPONENT=LEC,2026-09-18T13:37:47-04:00,
Spring 2027,University Park,MATH,519,001,21193,Topics in Stochastic Processes,,LEC,GRAD,M W F,2:30 PM-3:20 PM,McAllister Bldg 106,Izabella Stuhl,22,22,Y,Open,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029649&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21193&SSR_COMPONENT=LEC,2026-09-18T13:37:47-04:00,
Spring 2027,University Park,MATH,524,001,21194,Numerical Linear Algebra,,LEC,GRAD,T Th,12:05 PM-1:20 PM,McAllister Bldg 106,Wenrui Hao,22,22,Y,Open,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029656&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21194&SSR_COMPONENT=LEC,2026-09-18T13:37:47-04:00,
Spring 2027,University Park,MATH,527,001,22645,Topology,,LEC,GRAD,M W F,1:25 PM-2:15 PM,McAllister Bldg 106,Anton Petrunin,22,22,Y,Open,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029659&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=22645&SSR_COMPONENT=LEC,2026-09-18T13:37:47-04:00,
Spring 2027,University Park,MATH,530,001,27256,Differential Geometry,,LEC,GRAD,M W F,11:15 AM-12:05 PM,McAllister Bldg 106,Jeffrey Case,22,22,Y,Open,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029662&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=27256&SSR_COMPONENT=LEC,2026-09-18T13:37:47-04:00,
Spring 2027,University Park,MATH,533,001,27258,Lie Theory I,,LEC,GRAD,T Th,12:05 PM-1:20 PM,McAllister Bldg 113,Nigel Higson,22,22,Y,Open,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029665&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=27258&SSR_COMPONENT=LEC,2026-09-18T13:37:47-04:00,
Spring 2027,University Park,MATH,548,001,27261,Algebraic Geometry II,,LEC,GRAD,M W F,2:30 PM-3:20 PM,McAllister Bldg 113,Yuriy Zarkhin,22,22,Y,Open,Regular Academic Session,01/11/2027 - 04/30/2027,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=GRAD&CRSE_ID=029681&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=27261&SSR_COMPONENT=LEC,2026-09-18T13:37:47-04:00,
