term,campus,subject,catalog_number,section,class_number,course_title,topic,component,career,meeting_days,meeting_times,meeting_location,instructor,seats_available,seats_total,waitlist_available,status,academic_session,meeting_dates,notes,detail_url,retrieved_at,related_to
Spring 2027,University Park,MATH,4,001,22869,Intermediate Algebra,,LEC,UGRD,M W,6:00 PM-7:15 PM,Willard Bldg 165,,,,Y,,,,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029223&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=22869&SSR_COMPONENT=LEC,2026-09-23T11:53:47-04:00,
Spring 2027,University Park,MATH,21,002,21348,College Algebra with Analytic Geometry with Applications I,,LEC,UGRD,M W F,9:05 AM-9:55 AM,Boucke Bldg 109,,,,Y,,,,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029239&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21348&SSR_COMPONENT=LEC,2026-09-23T11:53:47-04:00,
Spring 2027,University Park,MATH,21,003,21347,College Algebra with Analytic Geometry with Applications I,,LEC,UGRD,M W F,10:10 AM-11:00 AM,Thomas Bldg 216,,,,Y,,,,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029239&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21347&SSR_COMPONENT=LEC,2026-09-23T11:53:47-04:00,
Spring 2027,University Park,MATH,21,004,21333,College Algebra with Analytic Geometry with Applications I,,LEC,UGRD,M W F,12:20 PM-1:10 PM,Tyson Bldg 111,,,,Y,,,,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029239&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21333&SSR_COMPONENT=LEC,2026-09-23T11:53:47-04:00,
Spring 2027,University Park,MATH,21,005,21334,College Algebra with Analytic Geometry with Applications I,,LEC,UGRD,M W F,1:25 PM-2:15 PM,Osmond Lab 105,,,,Y,,,,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029239&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21334&SSR_COMPONENT=LEC,2026-09-23T11:53:47-04:00,
Spring 2027,University Park,MATH,21,007,23261,College Algebra with Analytic Geometry with Applications I,,LEC,UGRD,M W,2:30 PM-3:20 PM,Buckhout Lab 112,,,,Y,,,,"Click Enroll to select the related discussion, laboratory, lecture, and/or recitation.",https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029239&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=23261&SSR_COMPONENT=LEC,2026-09-23T11:53:47-04:00,
Spring 2027,University Park,MATH,21,008,23511,College Algebra with Analytic Geometry with Applications I,,LEC,UGRD,M W F,3:35 PM-4:25 PM,Tyson Bldg 108,,,,Y,,,,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029239&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=23511&SSR_COMPONENT=LEC,2026-09-23T11:53:47-04:00,
Spring 2027,University Park,MATH,21,009,23512,College Algebra with Analytic Geometry with Applications I,,LEC,UGRD,M W F,3:35 PM-4:25 PM,Elec Eng East 132,,,,Y,,,,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029239&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=23512&SSR_COMPONENT=LEC,2026-09-23T11:53:47-04:00,
Spring 2027,University Park,MATH,21,010,24060,College Algebra with Analytic Geometry with Applications I,,LEC,UGRD,M W F,4:40 PM-5:30 PM,Willard Bldg 165,,,,Y,,,,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029239&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=24060&SSR_COMPONENT=LEC,2026-09-23T11:53:47-04:00,
Spring 2027,University Park,MATH,22,013,26571,College Algebra With Analytic Geometry and Applications II,,LEC,UGRD,M W,11:15 AM-12:05 PM,Deike Building 022,,,,Y,,,,"Click Enroll to select the related discussion, laboratory, lecture, and/or recitation.",https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029241&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=26571&SSR_COMPONENT=LEC,2026-09-23T11:53:47-04:00,
Spring 2027,University Park,MATH,22,014,26572,College Algebra With Analytic Geometry and Applications II,,LEC,UGRD,M W,1:25 PM-2:15 PM,Wartik Lab 111,,,,Y,,,,"Click Enroll to select the related discussion, laboratory, lecture, and/or recitation.",https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029241&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=26572&SSR_COMPONENT=LEC,2026-09-23T11:53:47-04:00,
Spring 2027,University Park,MATH,22,015,26573,College Algebra With Analytic Geometry and Applications II,,LEC,UGRD,M W,3:35 PM-4:25 PM,Wartik Lab 111,,,,Y,,,,"Click Enroll to select the related discussion, laboratory, lecture, and/or recitation.",https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029241&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=26573&SSR_COMPONENT=LEC,2026-09-23T11:53:47-04:00,
Spring 2027,University Park,MATH,26,001,21100,Plane Trigonometry and Applications of Trigonometry,,LEC,UGRD,M W F,10:10 AM-11:00 AM,Chambers Bldg 106,,,,Y,,,,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029243&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21100&SSR_COMPONENT=LEC,2026-09-23T11:53:47-04:00,
Spring 2027,University Park,MATH,26,002,21136,Plane Trigonometry and Applications of Trigonometry,,LEC,UGRD,M W F,10:10 AM-11:00 AM,Osmond Lab 112,,,,Y,,,,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029243&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21136&SSR_COMPONENT=LEC,2026-09-23T11:53:47-04:00,
Spring 2027,University Park,MATH,26,003,21137,Plane Trigonometry and Applications of Trigonometry,,LEC,UGRD,M W F,11:15 AM-12:05 PM,Osmond Lab 207,,,,Y,,,,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029243&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21137&SSR_COMPONENT=LEC,2026-09-23T11:53:47-04:00,
Spring 2027,University Park,MATH,26,004,23319,Plane Trigonometry and Applications of Trigonometry,,LEC,UGRD,M W F,12:20 PM-1:10 PM,Osmond Lab 101,,,,Y,,,,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029243&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=23319&SSR_COMPONENT=LEC,2026-09-23T11:53:47-04:00,
Spring 2027,University Park,MATH,26,005,23362,Plane Trigonometry and Applications of Trigonometry,,LEC,UGRD,M W F,2:30 PM-3:20 PM,Boucke Bldg 109,,,,Y,,,,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029243&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=23362&SSR_COMPONENT=LEC,2026-09-23T11:53:47-04:00,
Spring 2027,University Park,MATH,26,006,23514,Plane Trigonometry and Applications of Trigonometry,,LEC,UGRD,M W F,3:35 PM-4:25 PM,Ag Science & Industries 107,,,,Y,,,,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029243&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=23514&SSR_COMPONENT=LEC,2026-09-23T11:53:47-04:00,
Spring 2027,University Park,MATH,31,001,23951,Mathematics of Music,,LEC,UGRD,M W F,1:25 PM-2:15 PM,Nursing Sciences Bldg 323,,,,Y,,,,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=306529&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=23951&SSR_COMPONENT=LEC,2026-09-23T11:53:47-04:00,
Spring 2027,University Park,MATH,33,001,23190,Mathematics for Sustainability,,LEC,UGRD,M W | WEB,10:10 AM-11:00 AM | ,Willard Bldg 258 | ,,,,Y,,,,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029246&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=23190&SSR_COMPONENT=LEC,2026-09-23T11:53:47-04:00,
Spring 2027,University Park,MATH,33,002,23966,Mathematics for Sustainability,,LEC,UGRD,M W | WEB,11:15 AM-12:05 PM | ,Willard Bldg 075 | ,,,,Y,,,,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029246&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=23966&SSR_COMPONENT=LEC,2026-09-23T11:53:47-04:00,
Spring 2027,University Park,MATH,34,001,21025,The Mathematics of Money,,LEC,UGRD,M W F,9:05 AM-9:55 AM,Wartik Lab 111,,,,Y,,,,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029247&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21025&SSR_COMPONENT=LEC,2026-09-23T11:53:47-04:00,
Spring 2027,University Park,MATH,34,002,21026,The Mathematics of Money,,LEC,UGRD,,,,,,,Y,,,,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029247&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21026&SSR_COMPONENT=LEC,2026-09-23T11:53:47-04:00,
