term,campus,subject,catalog_number,section,class_number,course_title,topic,component,career,meeting_days,meeting_times,meeting_location,instructor,seats_available,seats_total,waitlist_available,status,academic_session,meeting_dates,notes,detail_url,retrieved_at,related_to
Spring 2027,University Park,MATH,310,001,21384,Elementary Combinatorics,,LEC,UGRD,M W F,10:10 AM-11:00 AM,Huck Life Sciences Bldg 011,,,,Y,,,,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029405&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21384&SSR_COMPONENT=LEC,2026-09-23T11:55:17-04:00,
Spring 2027,University Park,MATH,310,002,21385,Elementary Combinatorics,,LEC,UGRD,M W F,1:25 PM-2:15 PM,Osmond Lab 110,,,,Y,,,,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029405&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21385&SSR_COMPONENT=LEC,2026-09-23T11:55:17-04:00,
Spring 2027,University Park,MATH,310H,001,27356,Honors Concepts of Combinatorics,,LEC,UGRD,M W F,1:25 PM-2:15 PM,Nursing Sciences Bldg 322,,,,Y,,,,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029408&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=27356&SSR_COMPONENT=LEC,2026-09-23T11:55:17-04:00,
Spring 2027,University Park,MATH,311W,001,21400,Concepts of Discrete Mathematics,,LEC,UGRD,M W F,10:10 AM-11:00 AM,Osmond Lab 207,,,,Y,,,,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029415&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21400&SSR_COMPONENT=LEC,2026-09-23T11:55:17-04:00,
Spring 2027,University Park,MATH,311W,002,21401,Concepts of Discrete Mathematics,,LEC,UGRD,M W F,11:15 AM-12:05 PM,Osmond Lab 112,,,,Y,,,,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029415&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21401&SSR_COMPONENT=LEC,2026-09-23T11:55:17-04:00,
Spring 2027,University Park,MATH,312,001,21402,Concepts of Real Analysis,,LEC,UGRD,M W F,10:10 AM-11:00 AM,Osmond Lab 110,,,,Y,,,,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029417&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=21402&SSR_COMPONENT=LEC,2026-09-23T11:55:17-04:00,
Spring 2027,University Park,MATH,312,002,23351,Concepts of Real Analysis,,LEC,UGRD,M W F,11:15 AM-12:05 PM,Huck Life Sciences Bldg 011,,,,Y,,,,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029417&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=23351&SSR_COMPONENT=LEC,2026-09-23T11:55:17-04:00,
Spring 2027,University Park,MATH,312,003,23369,Concepts of Real Analysis,,LEC,UGRD,T Th,1:35 PM-2:50 PM,Nursing Sciences Bldg 316,,,,Y,,,,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029417&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=23369&SSR_COMPONENT=LEC,2026-09-23T11:55:17-04:00,
Spring 2027,University Park,MATH,312H,001,23525,Honors Concepts of Real Analysis,,LEC,UGRD,T Th,1:35 PM-2:50 PM,Willard Bldg 369,,,,Y,,,,,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029419&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=23525&SSR_COMPONENT=LEC,2026-09-23T11:55:17-04:00,
Spring 2027,University Park,MATH,318,002,22940,Elementary Probability,,LEC,UGRD,M W F,10:10 AM-11:00 AM,Willard Bldg 273,,,,Y,,,,This is a combined section class: STAT/MATH 318.002,https://public.lionpath.psu.edu/psc/CSPRD_newwin/EMPLOYEE/PSFT_HR/c/PE_SR175_PUBLIC.SSR_CRSE_INFO_FL.GBL?Page=SSR_CRSE_INFO_FL&Action=U&ACAD_CAREER=UGRD&CRSE_ID=029430&CRSE_OFFER_NBR=1&INSTITUTION=PSU55&STRM=2271&CLASS_NBR=22940&SSR_COMPONENT=LEC,2026-09-23T11:55:17-04:00,
